Dutch,English,Level
benzine de,gasoline the,A1
duren,to last,A1
erg,very,A1
halte de,stop the,A1
handig,handy,A1
haten,to hate,A1
helemaal,at all,A1
irritant,irritating,A1
kosten de,costs the,A1
kou de,cold the,A1
milieu het,environment the,A1
nieuwsbrief de,newsletter the,A1
ov het,public transport the,A1
parkeren,to park,A1
prettig,convenient,A1
reistijd de,travel time the,A1
rijbewijs het,driving licence the,A1
rit de (het ritje),drive the,A1
slecht,bad,A1
stoppen,to stop,A1
treinkaartje het,train ticket the,A1
verhaal het,story the,A1
want,because,A1
winter de,winter the,A1
zelfs,even,A1
auto de,car the,A1
bus de,bus the,A1
collega de,colleague the,A1
docent de,teacher the,A1
enorm,enormous,A1
excuses de,apologies the,A1
fiets de,bicycle the,A1
file de,traffic jam the,A1
gewoon,simply,A1
griep de,flu the,A1
helaas,unfortunately,A1
kantoor het,office the,A1
liggen,to lie,A1
manager de,manager the,A1
na,after,A1
ongeluk het,accident the,A1
pas,only,A1
rijden,to drive,A1
sturen,to send,A1
tram de,tram the,A1
vergadering de,meeting the,A1
verhuizing de,move the,A1
vriendelijk,kind,A1
werk het,work the,A1
dochter de,daughter the,A1
duidelijk,clear,A1
eerst,first,A1
eventueel,possibly,A1
geloven,to believe,A1
idee het,idea the,A1
kleren de,clothes the,A1
links,left,A1
linksaf,turn left,A1
lopen,to walk,A1
mam,mum,A1
mezelf,myself,A1
naartoe,(where) to,A1
plattegrond de,map the,A1
rechtdoor,straight ahead,A1
rechterkant de,right side the,A1
rechts,right,A1
rechtsaf,turn right,A1
route de,route the,A1
slim,smart,A1
stuk,broken,A1
tegenover,opposite,A1
tekenen,to draw,A1
terug,back,A1
tijdje het,while the,A1
uitleggen,to explain,A1
winkelen,to shop,A1
aankomen,to arrive,A1
aankomst de,arrival the,A1
bedankt,thanks,A1
centraal,central,A1
direct,direct,A1
gelukkig,luckily,A1
intercity de,intercity train the,A1
minuut de,minute the,A1
nergens,nowhere,A1
normaal,normally,A1
opletten,to pay attention,A1
overstappen,to change,A1
reiziger de,traveller the,A1
spoor het,platform the,A1
sprinter de,sprinter train the,A1
station het,station the,A1
tas de,bag the,A1
telefoon de,telephone the,A1
verbinding de,connection the,A1
verstaan,to hear,A1
vertraging de,delay the,A1
vertrek het,departure the,A1
vertrekken,to leave,A1
volgende,next one,A1
assistente de,assistant the,A1
behandelen,to treat,A1
dokter de,doctor the,A1
dubbel,double,A1
een paar,a few,A1
ernstig,serious,A1
gegevens de,data the,A1
gesloten,closed,A1
gezondheidszorg de,healthcare the,A1
huisarts de,the general practitioner the,A1
huisartsenpost de,GP out-of-hours service the,A1
klacht de,complaint the,A1
kort,short,A1
onderzoek het,research the,A1
praktijk de,practice the,A1
sommige,some,A1
specialist de,specialist the,A1
spoed de,emergency the,A1
spoedgeval het,emergency the,A1
spreekuur het,consultation hour the,A1
toetsen,to enter,A1
verwijzing de,referral the,A1
via,through,A1
ziekenhuis het,hospital the,A1
brengen,to bring,A1
dag de,day the,A1
eigenlijk,actually,A1
geduld het,patience the,A1
graad de,degree the,A1
hoesten,to cough,A1
keel de,throat the,A1
keelpijn de,sore throat the,A1
